ride_id,week_of_day,member_casual,ride_length
001997CA3AD3732D,Friday,member,989
001CC3618B478F2B,Sunday,member,951
00587890D6023805,Thursday,member,786
005CC419BD1269E8,Monday,member,269
005F3673E23F9E84,Saturday,member,466
007CB01F9584CE82,Thursday,member,1489
0087D7AD936A37DB,Sunday,member,385
009017C1A246D1B0,Thursday,member,1396
00A9E8E80C27FE04,Tuesday,member,869
00AEF8EE4622147F,Thursday,casual,450
00CAF52D7BA5A937,Thursday,member,560
00D5B7F1E7048210,Wednesday,member,365
00E07D6E5A10D344,Tuesday,member,217
00F3B93BA53DBF49,Sunday,member,600
010367173BECB293,Thursday,member,241
012881D3EF0CB772,Friday,member,946
0138C47EA3D05FF1,Wednesday,member,343
01441A86E266EFA5,Monday,member,1556
014F865D12C014FA,Tuesday,member,2589
01811A97EF929977,Friday,member,236
018C5FF1C2BA4D88,Monday,member,158
019DCE706C45E9DA,Tuesday,member,425
01A17A171C0C99C3,Wednesday,casual,737
01A8FE2583122666,Friday,member,518
01AA809EF678187C,Thursday,member,480
01B7E5FD1F0C4843,Thursday,member,652
01C0CBA34BAB079B,Sunday,member,627
01C7177F2B0BD5D7,Thursday,member,169
01CDE8876F395D36,Monday,member,212
01D2FD6033FF99CA,Thursday,member,1529
01EE575F9EF1A146,Sunday,casual,688
01F4C3EECF50973E,Thursday,member,192
020092433DD3D105,Saturday,member,535
02044406A76DEBDC,Tuesday,member,1433
021211940FFF9661,Thursday,member,310
02165CB89AF0A2D3,Tuesday,member,957
0225A1411134B3E0,Wednesday,casual,7791
024818950B1481AF,Friday,member,397
0251D82D4EA68163,Monday,member,128
0266BAB94E925D70,Tuesday,member,427
026825CFCD5E1CFE,Wednesday,member,1019
026E21D9D3EAEBA9,Monday,member,610
0278D3F38D425479,Tuesday,member,356
0283414833FBC590,Monday,member,253
0289FA1E9357F778,Monday,member,739
028BCF623E25F6DB,Saturday,member,492
02A2E81AFA857B8E,Saturday,casual,365
02C1C4BFFC7D7F26,Sunday,casual,936
02C2AB15C1A362DD,Wednesday,casual,1132
02D2FE1CB9D8762F,Monday,member,1202
02EE96E49A2B67A4,Sunday,casual,1051
02F3A92A800DAA65,Saturday,casual,1114
0304690C3F15220B,Thursday,member,373
0329AEEE3BC5E9FF,Wednesday,member,315
032E4ACB5BF47F68,Saturday,member,1040
0341EA9788045838,Sunday,member,625
0362B303FFC4FBA3,Thursday,member,287
037502EF9C490AD0,Friday,member,1317
037F48C5A24437BA,Thursday,member,630
03828E30FF2CBB41,Friday,member,184
038C2E52A6028B05,Tuesday,member,717
03A38BF17C4464F1,Saturday,member,535
03B94CF0DC4ADA59,Friday,member,224
03B9590F13FF88FB,Monday,member,305
03DBF22ED7179871,Saturday,casual,1344
03F3C40641D7231D,Thursday,member,1612
041557B67136165F,Thursday,member,172
04278FB710C7D037,Saturday,member,354
04286052BE5450B0,Monday,member,485
04671E13C715F92E,Monday,member,726
047C2D51A6915A48,Saturday,casual,592
04875442FDB1D025,Wednesday,casual,252
0490F339AFC51332,Sunday,member,148
049803865E2B6B1C,Wednesday,member,432
04BFFCB106D93171,Saturday,casual,302
04C1B22537810329,Monday,member,737
04C76485E4F931DA,Monday,casual,169
04C94784FBB330AF,Wednesday,member,1387
04FCE5573C751BC9,Monday,casual,1108
051184EF51D1582C,Tuesday,member,1253
051F44E5835A4187,Saturday,member,678
053A1FB721BB5042,Monday,member,231
054FEF8EE7381B8C,Tuesday,member,555
057B277C96C28B36,Friday,member,1447
0587E12FBF553F42,Wednesday,member,241
059526BFAC792155,Saturday,member,1230
05BE31A26E22578C,Sunday,member,732
05F077FCF807DAD2,Friday,member,2840
05F998282215F5E5,Monday,casual,1000
0609A530DA2A2D2F,Saturday,member,348
06199D88B8EDB1F8,Monday,casual,1319
06482C6BEA7992D5,Wednesday,member,258
0653EB05E5E9CA9B,Sunday,member,275
065CE1DA4CD006B4,Friday,casual,1719
065D142FB9A273A9,Thursday,member,772
065D1BBBB78B0E91,Saturday,casual,208
065F94DFBC6AAAD7,Saturday,member,2091
067BFE77ECEF31BE,Monday,member,170
